question_id,model,graph_image,file_name,number_of_nodes,question_level,visualisation_type,adaptation,question,device,ckpt,input_image,output_dir,saliency_npy,scanpath_npy,status,error,saliency_mean,saliency_std,saliency_max,saliency_min,saliency_skewness,saliency_kurtosis,saliency_entropy,saliency_center_bias,saliency_spread,fixation_count,fixation_duration_mean,fixation_duration_std,scanpath_length,scanpath_complexity,mean_saccade_mag,cognitive_load,info_processing_idx
1,sum,samples/6 node/6_nodes_S00002/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00002/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q01_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q01_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.035574526432745376,0.08015019917167437,1.0,0.0,5.9875575899790565,46.50792837533434,14.426293708653745,0.3299148608647574,66.40361087023165,0,nan,nan,nan,nan,nan,nan,nan
2,sum,samples/6 node/6_nodes_S00005/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many nodes have TLP:GREEN?,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00005/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q02_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q02_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.036790883215220116,0.07781095444149173,1.0,0.0,5.951940263947475,47.33992161388688,14.519853762123294,0.38209102195464295,71.35848293295506,0,nan,nan,nan,nan,nan,nan,nan
3,sum,samples/6 node/6_nodes_S00008/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,Count the number of nodes with high connection counts (node size 7-10),cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00008/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q03_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q03_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.04692441530443718,0.0893730106166915,1.0,0.0,4.852354540784515,31.84554834367121,14.642712214977127,0.3412004237821632,72.65080354389573,0,nan,nan,nan,nan,nan,nan,nan
4,sum,samples/6 node/6_nodes_S00014/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00014/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q04_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q04_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.06307566848111694,0.11730847996727724,1.0,0.0,3.0473240824820444,11.131817574139278,14.445812845193492,0.3457270344081606,62.94651830869642,0,nan,nan,nan,nan,nan,nan,nan
5,sum,samples/6 node/6_nodes_S00017/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00017/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q05_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q05_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.062486306381422344,0.12396208056371279,1.0,0.0,3.6361793126683644,15.322059957016407,14.444276782653318,0.3340712812976708,69.64962061841263,0,nan,nan,nan,nan,nan,nan,nan
6,sum,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00020/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q06_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q06_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.04621773367148519,0.08940889273921869,1.0,0.0,4.6805088232600935,29.55945836319342,14.569494702502059,0.3579119373163828,67.3642028998152,0,nan,nan,nan,nan,nan,nan,nan
7,sum,samples/6 node/6_nodes_S00023/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00023/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q07_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q07_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.05053143319358418,0.10176797861899435,1.0,0.0,4.070501944083566,21.271217288146097,14.434440511452273,0.35286827443829,64.75900770724725,0,nan,nan,nan,nan,nan,nan,nan
8,sum,samples/6 node/6_nodes_S00026/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00026/no_caption/non_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q08_non_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q08_non_adapted/non_adapted_sum/non_adapted_sum_saliency.npy,,ok,,0.06092512973839442,0.10918347147108949,1.0,0.0,3.2391319960740033,14.124574809125011,14.525623655836084,0.3328319137443782,68.80812721254671,0,nan,nan,nan,nan,nan,nan,nan
9,sum,samples/6 node/6_nodes_S00065/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,How many CYBER OBSERVABLE nodes are in the graph?,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00065/no_caption/fully_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q09_fully_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q09_fully_adapted/fully_adapted_sum/fully_adapted_sum_saliency.npy,,ok,,0.054726613635334265,0.10513843350432282,1.0,0.0,3.6513095485773084,17.88595415842271,14.427264840474267,0.3881568914083099,66.80634814376539,0,nan,nan,nan,nan,nan,nan,nan
10,sum,samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,How many nodes have TLP:GREEN?,cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q10_fully_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q10_fully_adapted/fully_adapted_sum/fully_adapted_sum_saliency.npy,,ok,,0.06020747739738024,0.10665575625386521,1.0,0.0,3.558155444978348,17.430572317529627,14.59103575281473,0.33999625218769197,62.90782033567331,0,nan,nan,nan,nan,nan,nan,nan
11,sum,samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,Count the number of nodes with high connection counts (node size 7-10),cuda:1,/data/gkoutr/BCI-RS/synthetic_eyetracking_works/non-priority/sum/SUM-main/net/pre_trained_weights/sum_model.pth,/data/gkoutr/synthetic_eye_sphynx/images/samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q11_fully_adapted,/data/gkoutr/synthetic_eye_sphynx/results/high_level/sum/outputs/q11_fully_adapted/fully_adapted_sum/fully_adapted_sum_saliency.npy,,ok,,0.06343700994360836,0.11151934688179165,1.0,0.0,3.3481816791530696,14.19086367246523,14.607520752148679,0.33757201006291393,67.78709024378969,0,nan,nan,nan,nan,nan,nan,nan
